"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"
261	195148.081	"plough"	"plough"	"plough"	"grain"	616870.1025	7090254.333	"5167"
262	3065.44285	"grass"	"grass"	"grass"	"grass"	619055.375	7090595.872	"5179"
263	4677.0936	"plough"	"plough"	"plough"	"grain"	617841.7425	7091079.36	"5193"
264	52397.12455	"grass"	"plough"	"plough"	"grain"	618311.395	7091219.436	"5199"
265	39009.22735	"grass"	"grass"	"grass"	"grain"	618751.2366	7091063.483	"5200"
266	2996.66235	"plough"	"grain"	"grain"	"grain"	618152.2868	7092253.577	"5207"
267	167417.7421	"plough"	"plough"	"grass"	"grass"	617927.48	7091503.785	"5208"
268	1803.3198	"grass"	"grass"	"grass"	"grass"	618823.5454	7091776.185	"5216"
269	2141.38235	"grass"	"grass"	"grass"	"grass"	618777.9975	7091741.752	"5217"
270	1737.03665	"grass"	"grass"	"grass"	"grass"	618932.5325	7091952.93	"5219"
271	13695.61355	"grass"	"grass"	"grain"	"grain"	618490.555	7093120.576	"5231"
272	21079.7022	"stubble"	"stubble"	"grain"	"grain"	618401.245	7092562.863	"5232"
273	16451.97125	"stubble"	"plough"	"grain"	"grain"	617797.8575	7092561.178	"5233"
274	25379.246	"plough"	"grain"	"grain"	"grain"	616923.0175	7092685.296	"5239"
275	32441.3851	"grass"	"grass"	"grain"	"grain"	618434.22	7092717.797	"5241"
276	12955.91185	"grass"	"grass"	"grass"	"grass"	618780.695	7091938.513	"5245"
277	55763.31755	"grass"	"grass"	"grass"	"grass"	621565.515	7092309.984	"5267"
278	4558.57385	"grass"	"grass"	"grass"	"grass"	620886.7121	7092188.351	"5271"
279	1792.21835	"stubble"	"stubble"	"grain"	"grain"	619557.3155	7091980.312	"5279"
280	2696.8172	"stubble"	"plough"	"plough"	"grain"	621316.8325	7090949.001	"5285"
281	21665.27115	"stubble"	"plough"	"grain"	"grain"	620595.395	7090947.815	"5288"
282	5836.5019	"stubble"	"plough"	"grain"	"grain"	620527.13	7090941.586	"5294"
283	1141.4179	"stubble"	"plough"	"plough"	"grain"	619464.5567	7091889.812	"5322"
284	9902.1395	"stubble"	"stubble"	"plough"	"plough"	620544.605	7093013.883	"5335"
285	10185.1005	"grass"	"grass"	"grain"	"grain"	620758.3775	7091928.589	"5357"
286	30289.24175	"grass"	"grass"	"grass"	"grass"	620869.255	7091784.833	"5358"
287	5923.71885	"grass"	"grass"	"plough"	"grain"	620943.06	7091034.927	"5364"
288	3854.25585	"plough"	"plough"	"plough"	"grain"	621275.9452	7090923.172	"5368"
289	36033.37865	"grass"	"grass"	"grass"	"grass"	621607.8937	7090610.638	"5371"
290	13888.42585	"plough"	"plough"	"grain"	"grain"	620140.5411	7090609.808	"5375"
291	2744.6471	"plough"	"plough"	"plough"	"grain"	620523.121	7090634.25	"5376"
292	544767.8808	"stubble"	"stubble"	"plough"	"grain"	620799.91	7090195.369	"5377"
293	34410.4906	"grass"	"grass"	"grass"	"grass"	622480.4322	7091872.067	"5382"
294	72227.1242	"grass"	"grass"	"grass"	"grass"	621270.4875	7092391.475	"5402"
295	80568.4887	"stubble"	"stubble"	"plough"	"grain"	619653.34	7092960.694	"5405"
296	10809.6624	"stubble"	"stubble"	"grain"	"grain"	619981.7175	7092589.709	"5407"
297	77652.24525	"stubble"	"stubble"	"grain"	"grain"	619707.27	7092705.701	"5414"
298	204633.5713	"stubble"	"plough"	"plough"	"grain"	620167.315	7092337.604	"5433"
299	102853.2646	"grass"	"grass"	"grain"	"grain"	622351.06	7092369.578	"5446"
300	13254.0849	"grass"	"grass"	"grass"	"grass"	622041.1225	7092373.6	"5447"
301	47195.90135	"stubble"	"grass"	"grass"	"grass"	621141.575	7092136.212	"5448"
302	36640.3324	"plough"	"plough"	"grain"	"grain"	620621.765	7091989.01	"5450"
303	3995.35605	"grass"	"grass"	"grain"	"grain"	620849.3741	7091912.46	"5455"
304	13577.3631	"stubble"	"stubble"	"plough"	"grain"	619914.1037	7092040.787	"5462"
305	154499.046	"stubble"	"plough"	"grain"	"grain"	622247.2725	7092715.466	"5478"
306	3717.1889	"stubble"	"plough"	"grain"	"grain"	619606.3227	7090913.532	"5491"
307	106903.4097	"stubble"	"stubble"	"grain"	"grain"	620683.9575	7091717.7	"5502"
308	43640.26665	"plough"	"plough"	"plough"	"grain"	620781.33	7091183.601	"5504"
309	6159.89555	"plough"	"plough"	"grain"	"grain"	620467.9625	7090717.783	"5509"
310	89931.91265	"stubble"	"stubble"	"grass"	"grass"	622691.895	7091214.292	"5524"
