"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"	"initial1"	"initial2"	"initial3"	"initial4"
73	10970.82875	"stubble"	"stubble"	"plough"	"grain"	619034.575	7087901.508	"4136"	309406.272706571	0	0	921286.674938513
74	9955.5446	"plough"	"plough"	"plough"	"grain"	619338.5175	7087995.38	"4145"	0	0	0	629530.352629707
75	1417.0468	"grass"	"grass"	"plough"	"plough"	616898.6238	7086940.25	"4160"	114575.300714234	0	0	0
76	1125.51915	"grass"	"grass"	"plough"	"plough"	616939.0446	7086977.926	"4161"	100666.155443351	0	0	0
77	2706.90425	"grass"	"grass"	"grass"	"grass"	617531.595	7087778.332	"4166"	239997.101004912	0	0	0
78	2764.02565	"grass"	"grass"	"grass"	"grass"	617501.5938	7087451.966	"4167"	227837.121039405	0	0	0
79	43087.52105	"grass"	"grass"	"grass"	"grass"	618019.865	7087726.992	"4169"	3618733.35834686	0	0	0
80	749.2682	"grass"	"grass"	"grass"	"grass"	618029.7071	7087858.055	"4170"	60661.9152161066	0	0	0
81	6377.4112	"grass"	"grass"	"grass"	"grass"	618178.5517	7087872.702	"4171"	471204.111576455	0	0	0
82	6634.2672	"grass"	"grass"	"grain"	"grain"	618292.09	7087837.382	"4172"	508301.950549271	0	516591.717405709	0
83	23993.96355	"stubble"	"plough"	"grain"	"grain"	618481.33	7087964.199	"4176"	928988.474353349	0	2125678.37656064	0
84	16508.5856	"grass"	"grass"	"grain"	"grain"	618855.0788	7087854.89	"4177"	1449488.02033603	0	1267758.9976135	0
85	32420.9298	"stubble"	"stubble"	"grain"	"grain"	619609.2675	7087936.243	"4183"	1911295.79409125	0	2169774.92746346	0
86	886.73075	"stubble"	"stubble"	"stubble"	"stubble"	619426.7644	7087360.27	"4187"	2737.44221665634	0	0	0
87	17449.55665	"stubble"	"stubble"	"plough"	"plough"	619621.467	7087070.407	"4188"	384012.939248924	0	0	0
88	39819.25025	"grass"	"plough"	"grain"	"grain"	619570.18	7086295.727	"4194"	3430767.35376923	0	2717484.44798904	0
89	5719.80505	"grass"	"grass"	"grass"	"grass"	619480.92	7086420.084	"4203"	458379.250551568	0	0	0
90	153735.8734	"grass"	"plough"	"grain"	"grain"	619701.745	7085604.228	"4207"	12012867.1905368	0	8000010.38282714	0
91	67952.64225	"plough"	"plough"	"grain"	"grain"	619685.0312	7086153.813	"4209"	0	0	2205643.64430812	0
92	4632.1584	"grass"	"grass"	"grass"	"grass"	616609.87	7087309.396	"4213"	372044.277318478	0	0	0
93	13472.0514	"grass"	"grass"	"grass"	"grass"	617210.1025	7087044.59	"4218"	1145743.40137449	0	0	0
94	979.6835	"grass"	"grass"	"grass"	"grass"	617133.9095	7087027.959	"4219"	74344.5626734618	0	0	0
95	25804.90215	"plough"	"plough"	"grain"	"grain"	616495.665	7086923.274	"4227"	0	0	2004216.06906035	0
96	7523.27915	"grass"	"grass"	"grass"	"grass"	616519.2783	7087196.006	"4228"	587927.700064085	0	0	0
97	3433.6586	"grass"	"grass"	"grass"	"grass"	617174.875	7087141.178	"4229"	282738.820769584	0	0	0
98	2359.7602	"grass"	"grass"	"grass"	"grass"	616556.7635	7087260.528	"4232"	195678.983921515	0	0	0
99	45176.758	"grass"	"plough"	"plough"	"grain"	617009.9524	7086836.7	"4236"	3917218.54441459	0	0	3914403.36675311
